symbol,yf_ticker,name,exchange
RADICO,RADICO.NS,Radico Khaitan Ltd,NSE
RAIN,RAIN.NS,Rain Industries Ltd,NSE
RAJESHEXPO,RAJESHEXPO.NS,Rajesh Exports Ltd.,NSE
RALLIS,RALLIS.NS,Rallis India Ltd.,NSE
RKFORGE,RKFORGE.NS,Ramkrishna Forgings Ltd.,NSE
RCF,RCF.NS,Rashtriya Chemicals & Fertilizers Ltd.,NSE
RAYMOND,RAYMOND.NS,Raymond Ltd.,NSE
REDINGTON,REDINGTON.NS,Redington (India) Ltd.,NSE
RELAXO,RELAXO.NS,Relaxo Footwears Ltd.,NSE
RELCAPITAL,RELCAPITAL.NS,Reliance Capital Ltd.,NSE
RCOM,RCOM.NS,Reliance Communications Ltd.,NSE
RHFL,RHFL.NS,Reliance Home Finance Ltd.,NSE
RELIANCE,RELIANCE.NS,Reliance Industries Ltd.,NSE
RELINFRA,RELINFRA.NS,Reliance Infrastructure Ltd.,NSE
RNAM,RNAM.NS,Reliance Nippon Life Asset Management Ltd.,NSE
RPOWER,RPOWER.NS,Reliance Power Ltd.,NSE
REPCOHOME,REPCOHOME.NS,Repco Home Finance Ltd.,NSE
RUPA,RUPA.NS,Rupa & Company Ltd.,NSE
SHK,SHK.NS,S H Kelkar and Company Ltd.,NSE
SBILIFE,SBILIFE.NS,SBI Life Insurance Company Ltd.,NSE
SJVN,SJVN.NS,SJVN Ltd.,NSE
SKFINDIA,SKFINDIA.NS,SKF India Ltd.,NSE
